issue_time_utc,valid_time_utc,forecast_hour,cams_pm25_ug_m3,nearest_grid_lat,nearest_grid_lon,source_file
2024-01-03 12:00:00+00:00,2024-01-03 23:00:00+00:00,11,3.4651659319706596,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-04 00:00:00+00:00,12,3.669471171363625,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-04 01:00:00+00:00,13,5.588776552656327,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 01:00:00+00:00,1,6.524156326292996,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-04 02:00:00+00:00,14,8.049892308292783,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 02:00:00+00:00,2,11.360260288029167,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-04 03:00:00+00:00,15,9.4656584792574,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 03:00:00+00:00,3,16.80987438135162,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 04:00:00+00:00,4,18.640214705101243,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 05:00:00+00:00,5,19.58075657171321,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 06:00:00+00:00,6,19.877308687910045,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 07:00:00+00:00,7,18.745097918326792,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 08:00:00+00:00,8,16.6439519944106,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 09:00:00+00:00,9,13.569415813208252,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 10:00:00+00:00,10,10.292829699665162,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 11:00:00+00:00,11,7.533287771366304,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 12:00:00+00:00,12,5.523452806244222,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 13:00:00+00:00,13,4.285823251848342,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 12:00:00+00:00,2024-01-04 13:00:00+00:00,1,4.225372940425132,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 14:00:00+00:00,14,3.700722395194589,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 12:00:00+00:00,2024-01-04 14:00:00+00:00,2,3.7173690792258185,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-04 00:00:00+00:00,2024-01-04 15:00:00+00:00,15,5.195756713760602,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
